,SOURCE_ID,WAVE_ID,YEAR,MONTH,DAY,DISTANCE_FROM_SOURCE,TRAVEL_TIME_HOURS,MEASUREMENT_TYPE,MAXIMUM_HEIGHT
2599,1150,28276,1884,11.0,15.0,255.0,4.0,1.0,2.3
2600,1150,28277,1884,11.0,15.0,255.0,4.0,1.0,2.3
2691,1200,28469,1892,12.0,9.0,35.0,4.0,1.0,2.3
2692,1200,10475,1892,12.0,9.0,21.0,4.0,1.0,2.3
2697,1203,1421,1893,6.0,4.0,370.0,4.0,1.0,2.5
2699,1204,10476,1893,6.0,13.0,95.0,4.0,1.0,2.3
2703,1208,28299,1894,3.0,22.0,100.0,4.0,1.0,1.5
2704,1208,28300,1894,3.0,22.0,96.0,4.0,1.0,2.3
2706,1208,1426,1894,3.0,22.0,94.0,4.0,1.0,1.5
2707,1208,1424,1894,3.0,22.0,111.0,4.0,1.0,2.0
2708,1208,1440,1894,3.0,22.0,479.0,4.0,1.0,1.0
2709,1208,1439,1894,3.0,22.0,411.0,4.0,1.0,1.0
2710,1208,1438,1894,3.0,22.0,455.0,4.0,1.0,1.4
2713,1208,28302,1894,3.0,22.0,432.0,4.0,1.0,2.3
2716,1208,1429,1894,3.0,22.0,143.0,4.0,1.0,1.0
2717,1208,1425,1894,3.0,22.0,442.0,4.0,1.0,0.5
2719,1208,1431,1894,3.0,22.0,462.0,4.0,1.0,4.0
2721,1208,1434,1894,3.0,22.0,490.0,4.0,1.0,1.0
2722,1208,1435,1894,3.0,22.0,255.0,4.0,1.0,3.0
2739,1224,28304,1895,5.0,25.0,31.0,4.0,7.0,2.3
2763,1231,28308,1896,1.0,9.0,51.0,4.0,1.0,2.3
2764,1231,28306,1896,1.0,9.0,427.0,4.0,1.0,2.3
2765,1231,28307,1896,1.0,9.0,205.0,1.0,1.0,0.25
2766,1231,28305,1896,1.0,9.0,150.0,4.0,1.0,2.3
2767,1231,28309,1896,1.0,9.0,87.0,4.0,1.0,2.3
2768,1231,28310,1896,1.0,9.0,205.0,4.0,1.0,2.3
2773,1234,1486,1896,6.0,15.0,174.0,0.0,1.0,2.3
2776,1234,28317,1896,6.0,15.0,239.0,4.0,1.0,2.3
2777,1234,28319,1896,6.0,15.0,220.0,4.0,1.0,2.3
2781,1234,1479,1896,6.0,15.0,290.0,4.0,2.939106274600602,3.0
2782,1234,1487,1896,6.0,15.0,315.0,4.0,1.0,2.3
2785,1234,28332,1896,6.0,15.0,187.0,4.0,1.0,2.3
2786,1234,1476,1896,6.0,15.0,254.0,4.0,2.0,1.2
2788,1234,28311,1896,6.0,15.0,277.0,4.0,1.0,2.3
2792,1234,28315,1896,6.0,15.0,374.0,4.0,1.0,2.3
2793,1234,28316,1896,6.0,15.0,440.0,1.0,2.0,2.3
2794,1234,28318,1896,6.0,15.0,311.0,4.0,1.0,2.3
2795,1234,28320,1896,6.0,15.0,289.0,4.0,1.0,2.3
2796,1234,28321,1896,6.0,15.0,178.0,4.0,1.0,2.3
2797,1234,28322,1896,6.0,15.0,222.0,4.0,1.0,2.3
2798,1234,28324,1896,6.0,15.0,183.0,4.0,1.0,2.3
2799,1234,28325,1896,6.0,15.0,227.0,4.0,1.0,2.3
2800,1234,28327,1896,6.0,15.0,179.0,4.0,1.0,2.3
2801,1234,28329,1896,6.0,15.0,205.0,4.0,1.0,2.3
2804,1234,28330,1896,6.0,15.0,285.0,4.0,1.0,4.5
2805,1234,28328,1896,6.0,15.0,289.0,4.0,1.0,3.6
2807,1234,28334,1896,6.0,15.0,371.0,4.0,2.0,2.3
2808,1234,19564,1896,6.0,15.0,282.0,4.0,1.0,2.3
2809,1234,19565,1896,6.0,15.0,189.0,4.0,1.0,2.3
2810,1234,19566,1896,6.0,15.0,316.0,4.0,1.0,2.3
2813,1234,1483,1896,6.0,15.0,278.0,4.0,1.0,4.5
2815,1234,1488,1896,6.0,15.0,224.0,4.0,1.0,6.0
2816,1234,1490,1896,6.0,15.0,201.0,4.0,2.939106274600602,3.3
2817,1234,1492,1896,6.0,15.0,180.0,4.0,2.939106274600602,4.2
2820,1234,1497,1896,6.0,15.0,317.0,4.0,1.0,2.3
2824,1234,1491,1896,6.0,15.0,248.0,4.0,2.939106274600602,2.7
2844,1237,1504,1897,2.0,20.0,41.0,4.0,2.0,0.05
2845,1237,1503,1897,2.0,20.0,111.0,4.0,1.0,1.0
2851,1241,1527,1897,8.0,5.0,274.0,0.0,2.0,2.3
2852,1241,1531,1897,8.0,5.0,213.0,4.0,1.0,1.5
2853,1241,1538,1897,8.0,5.0,212.0,0.0,1.0,1.8
2854,1241,1536,1897,8.0,5.0,316.0,0.0,1.0,1.2
2855,1241,1537,1897,8.0,5.0,255.0,4.0,1.0,1.8
2856,1241,1535,1897,8.0,5.0,491.0,0.0,1.0,2.4
2857,1241,1534,1897,8.0,5.0,212.0,0.0,1.0,1.4
2858,1241,1533,1897,8.0,5.0,211.0,4.0,1.0,2.3
2859,1241,1532,1897,8.0,5.0,196.0,0.0,1.0,2.7
2860,1241,1530,1897,8.0,5.0,218.0,0.0,1.0,1.2
2861,1241,1529,1897,8.0,5.0,255.0,4.0,2.939106274600602,1.5
2862,1241,1528,1897,8.0,5.0,208.0,4.0,1.0,2.0
2863,1241,1519,1897,8.0,5.0,255.0,0.0,1.0,2.1
2864,1241,1520,1897,8.0,5.0,285.0,0.0,1.0,1.2
2865,1241,1521,1897,8.0,5.0,204.0,0.0,1.0,2.8
2866,1241,1522,1897,8.0,5.0,197.0,0.0,1.0,3.0
